ID;DNI;Ideconomico;Ingresos;GastosMensuales;Balance
77;33264339;176;2195;1054;1141
78;32895058;177;1523;686;837
79;32891155;178;2388;1051;1337
80;32903928;179;2947;1297;1650
81;32922044;180;2956;1331;1625
82;32738480;181;1623;763;860
83;32922246;182;1570;707;863
84;32946608;183;1820;783;1037
85;32970572;184;2851;1198;1653
86;41190227;185;1725;863;862
87;32889773;186;2292;1009;1283
88;32985110;187;2189;1051;1138
89;32898518;188;2631;1079;1552
90;43472987;189;1921;865;1056
91;32893804;190;1573;645;928
92;32893967;191;2009;804;1205
93;41841391;192;2596;1195;1401
94;44476943;193;2585;1267;1318
95;40629898;194;2542;1017;1525
96;32889494;195;2500;1050;1450
97;32891847;196;1553;699;854
98;32984164;197;2185;1027;1158
99;32889254;198;2194;966;1228
100;32992688;199;1720;740;980
101;41405245;200;1761;740;1021
102;44667646;201;2435;1169;1266
103;32899899;202;2205;1037;1168
104;41355087;203;1541;756;785
105;42664570;204;1553;653;900
106;41228925;205;2042;1001;1041
107;32897010;206;2914;1254;1660
108;32894238;207;1813;726;1087
109;32891497;208;2746;1346;1400
110;32738444;209;2020;849;1171
111;41401705;210;1645;642;1003
112;32919897;211;1934;774;1160
113;46391966;212;1580;759;821
114;42071126;213;2152;1012;1140
115;32897514;214;2160;972;1188
116;32902193;215;2049;1005;1044
117;45043378;216;1859;800;1059
118;45531826;217;2725;1145;1580
119;32900609;218;1803;866;937
120;40265622;219;1816;927;889
121;43707219;220;2756;1186;1570
122;45012698;221;1953;938;1015
123;32734562;222;2935;1292;1643
124;32947960;223;1833;917;916
125;43558433;224;1974;869;1105
126;32891474;225;1695;797;898
127;45693008;226;2748;1374;1374
128;32734276;227;2367;971;1396
129;80207050;228;2134;1046;1088
130;32946552;229;1870;786;1084
131;32900748;230;1930;753;1177
132;46191487;231;1517;607;910
133;40984449;232;2631;1053;1578
134;44786944;233;1674;804;870
135;43447124;234;2789;1256;1533
136;32828425;235;2999;1200;1799
137;32790367;236;1620;778;842
138;32912249;237;2609;1070;1539
139;32824398;238;1626;765;861
140;32859980;239;2397;1175;1222
141;32973527;240;1514;667;847
142;40234570;241;2612;1098;1514
143;33259941;242;2354;966;1388
144;32867165;243;2346;915;1431
145;32818482;244;2955;1330;1625
146;32925807;245;2035;835;1200
147;32905897;246;1786;893;893
148;32845631;247;1797;845;952
149;32915848;248;2484;1044;1440
150;32873179;249;2664;1359;1305
151;32775923;250;2516;1108;1408
152;32781231;251;1864;802;1062
153;32800063;252;2184;1071;1113
154;40694340;253;2637;1161;1476
155;40951528;254;1892;814;1078
156;32798321;255;2730;1229;1501
157;32840741;256;2493;1272;1221
158;32771969;257;2117;953;1164
159;32887800;258;1833;752;1081
160;8258402;259;1804;794;1010
161;32909721;260;2120;976;1144
162;22498743;261;2086;981;1105
163;41212345;262;1689;693;996
164;32971058;263;2666;1333;1333
165;32817262;264;2550;1020;1530
166;32857399;265;2127;873;1254
167;32817215;266;2285;1143;1142
168;32971207;267;1540;663;877
169;43411505;268;2080;957;1123
170;82922597;269;2323;1046;1277
171;41002944;270;2624;1129;1495
172;32978914;271;2270;977;1293
173;33260168;272;2157;1079;1078
174;42761500;273;1844;775;1069
175;44051054;274;1683;792;891
176;32918842;275;2573;1030;1543
177;33261581;276;2224;1046;1178
178;33260070;277;2905;1192;1713
179;32964289;278;1524;778;746
180;32873040;279;2184;1049;1135
181;32865748;280;2858;1287;1571
182;32816970;281;2369;1114;1255
183;44756532;282;2282;1005;1277
184;32788032;283;2287;1007;1280
185;32488601;284;1548;620;928
186;32843534;285;1767;743;1024
187;32885724;286;2296;988;1308
188;43112018;287;2686;1209;1477
189;32811380;288;2755;1213;1542
190;32784731;289;2609;1070;1539
191;32846236;290;2618;1048;1570
192;47850359;291;1780;890;890
193;71085193;292;2020;1031;989
194;70117168;293;2931;1319;1612
195;32853366;294;2815;1211;1604
196;46403966;295;1812;870;942
197;46100461;296;2592;1167;1425
198;32805828;297;2678;1179;1499
199;32846145;298;2778;1195;1583
200;74527619;299;2652;1061;1591
201;47434264;300;1796;773;1023
202;76208907;301;2121;849;1272
203;41783096;302;2541;1144;1397
204;41864203;303;2415;942;1473
205;32916546;304;2829;1302;1527
206;32922597;305;2231;1004;1227
207;32792954;306;2122;892;1230
208;32807631;307;1609;660;949
209;32788251;308;2576;1185;1391
210;15851610;309;2775;1277;1498
211;40956203;310;2461;1059;1402
212;40951537;311;2601;1119;1482
213;32924522;312;2579;1058;1521
214;44043297;313;2510;979;1531
215;44515610;314;2561;999;1562
216;32864068;315;2719;1306;1413
217;73613582;316;1617;777;840
218;32867341;317;1524;762;762
219;43811143;318;2323;1139;1184
220;41671483;319;2841;1307;1534
221;48420796;320;2153;862;1291
222;10505866;321;1815;817;998
223;32932764;322;2213;930;1283
224;32835884;323;2041;837;1204
225;32934342;324;1687;760;927
226;32918747;325;2623;1286;1337
227;32913720;326;1517;607;910
228;32915083;327;1642;789;853
229;32865669;328;2221;1067;1154
230;40461696;329;2475;1213;1262
231;32901523;330;2630;1158;1472
232;23093857;331;1594;782;812
233;32875845;332;1711;805;906
234;2776416;333;1578;663;915
235;2862749;334;2415;1232;1183
236;32910136;335;2655;1089;1566
237;7115641;336;1813;853;960
238;43858001;337;2364;1159;1205
239;32738615;338;1834;936;898
240;32922997;339;1997;839;1158
241;32796103;340;2624;1129;1495
242;32976642;341;1945;876;1069
243;43536735;342;1759;722;1037
244;7555491;343;1534;675;859
245;42583448;344;2649;1087;1562
246;32915372;345;2411;965;1446
247;18879362;346;2706;1326;1380
248;32857510;347;1545;727;818
249;32833624;348;2365;946;1419
250;32953836;349;2372;1115;1257
251;40414467;350;2828;1414;1414
252;32906089;351;1960;922;1038
253;80195618;352;2737;1260;1477
254;32942619;353;1712;856;856
255;32793198;354;1776;729;1047
256;32939345;355;1732;797;935
257;32962006;356;1913;804;1109
258;32945572;357;2785;1282;1503
259;6849546;358;2697;1187;1510
260;32785094;359;2519;1260;1259
261;32842827;360;2274;1024;1250
262;40130526;361;2853;1398;1455
263;33265393;362;1516;622;894
264;44268148;363;1662;732;930
265;32907394;364;2747;1127;1620
266;32905789;365;1688;709;979
267;32985301;366;2534;989;1545
268;32137138;367;1958;882;1076
269;32839367;368;2778;1223;1555
270;32919459;369;1690;829;861
271;32542108;370;1878;752;1126
272;45056238;371;1928;830;1098
273;40080785;372;1999;900;1099
274;43670422;373;1916;748;1168
275;32982001;374;1990;816;1174
276;32973061;375;1529;689;840
277;32936865;376;2469;1260;1209
278;47347919;377;2710;1084;1626
279;42833368;378;1971;828;1143
280;43458592;379;2203;926;1277
281;32139561;380;2897;1159;1738
282;45684579;381;2847;1225;1622
283;33240133;382;2020;788;1232
284;41072781;383;2080;895;1185
285;32902838;384;1747;699;1048
286;32533416;385;2092;1046;1046
287;9757803;386;1559;764;795
288;32787234;387;2590;1166;1424
289;32940844;388;2870;1148;1722
290;70334097;389;1701;868;833
291;44824508;390;2285;1143;1142
292;40785749;391;1967;866;1101
293;41310784;392;2084;959;1125
294;71408612;393;1831;751;1080
295;48700505;394;2219;999;1220
296;32830846;395;1890;775;1115
297;17603913;396;2153;948;1205
298;41898192;397;2577;1134;1443
299;47524370;398;1608;660;948
300;40498186;399;2821;1185;1636
301;3369275;400;1668;651;1017
302;44029678;401;2669;1148;1521
303;32906815;402;1569;691;878
304;40591220;403;2978;1430;1548
305;45603234;404;2917;1255;1662
306;32958118;405;2589;1010;1579
307;40153264;406;2486;1069;1417
308;32990737;407;2831;1218;1613
309;32959171;408;1795;754;1041
310;32862274;409;1781;873;908
311;43347748;410;2760;1215;1545
312;32841241;411;2502;1026;1476
313;46520426;412;2670;1229;1441
314;41819238;413;2750;1348;1402
315;72712445;414;2133;1046;1087
316;32868407;415;2352;941;1411
317;60399254;416;2894;1216;1678
318;32834016;417;2178;1002;1176
319;76217395;418;1634;768;866
320;961625;419;1742;854;888
321;5245377;420;2824;1412;1412
322;70173108;421;2136;983;1153
323;80225716;422;2342;1078;1264
324;42858716;423;1546;743;803
325;42566473;424;2424;994;1430
326;32831041;425;2136;834;1302
327;45436414;426;2777;1139;1638
328;62046228;427;2292;1101;1191
329;32543107;428;2688;1344;1344
330;46315030;429;1725;880;845
331;75433233;430;2516;1233;1283
332;32919256;431;1748;805;943
333;32854458;432;2354;1013;1341
334;80192392;433;1934;832;1102
335;32810945;434;2636;1318;1318
336;32959782;435;2233;1117;1116
337;32859068;436;2457;1204;1253
338;32905465;437;2239;1030;1209
339;32847918;438;2164;1082;1082
340;32904348;439;2781;1224;1557
341;32825776;440;2568;1259;1309
342;32961669;441;2999;1320;1679
343;32820043;442;2615;1203;1412
344;32825777;443;2842;1137;1705
345;32888585;444;1590;764;826
346;32970942;445;2167;867;1300
347;41676438;446;2938;1293;1645
348;32774394;447;2548;1173;1375
349;32966719;448;2851;1169;1682
350;32798865;449;2077;1018;1059
351;44416789;450;2096;1007;1089
352;32912606;451;2766;1218;1548
353;32927244;452;1815;817;998
354;80249420;453;2493;1023;1470
355;32807619;454;2305;1015;1290
356;32783168;455;2452;1153;1299
357;32971735;456;2167;932;1235
358;32836800;457;2057;906;1151
359;32843491;458;2295;1079;1216
360;44860810;459;2523;1262;1261
361;32959425;460;2708;1219;1489
362;32915383;461;2178;1046;1132
363;42942000;462;2080;1020;1060
364;45809235;463;2509;1130;1379
365;32868999;464;1882;772;1110
366;32809817;465;2333;980;1353
367;42823104;466;2831;1331;1500
368;32953544;467;1742;837;905
369;80193867;468;2364;1088;1276
370;42828215;469;1945;817;1128
371;32979147;470;2115;995;1120
372;32977134;471;2136;1068;1068
373;40390890;472;1892;795;1097
374;32933400;473;1934;755;1179
375;40286433;474;2694;1132;1562
376;32978478;475;1651;661;990
377;17617321;476;1959;882;1077
378;32829683;477;2715;1141;1574
379;255516;478;2940;1500;1440
380;32844767;479;1701;834;867
381;32138848;480;2484;1044;1440
382;42405089;481;2010;865;1145
383;32920022;482;2071;829;1242
384;40779169;483;1977;890;1087
385;33265077;484;2577;1031;1546
386;32798545;485;2711;1193;1518
387;32783242;486;2868;1176;1692
388;40170468;487;1629;685;944
389;71276942;488;2017;848;1169
390;46435288;489;1835;790;1045
391;32979104;490;1654;827;827
392;40947943;491;1644;757;887
393;42841349;492;1716;876;840
394;16504499;493;2849;1254;1595
395;32807523;494;2388;1099;1289
396;45350772;495;1719;791;928
397;43548509;496;1959;823;1136
398;32927005;497;1550;713;837
399;43423509;498;1973;888;1085
400;40591343;499;2079;1019;1060
401;44741582;500;1970;848;1122
402;42219847;501;2872;1207;1665
403;40390887;502;2075;934;1141
404;60130743;503;1543;772;771
405;32951326;504;2536;1167;1369
406;32397108;505;1530;674;856
407;10534326;506;2390;1172;1218
408;32951788;507;2446;1199;1247
409;32791463;508;1968;866;1102
410;32959507;509;2675;1124;1551
411;32921731;510;1983;833;1150
412;40015450;511;2630;1079;1551
413;41469426;512;2402;961;1441
414;76740430;513;2759;1325;1434
415;70608184;514;2521;1059;1462
416;32907185;515;1957;979;978
417;40500536;516;1763;882;881
418;76826877;517;1536;661;875
419;48700847;518;1548;759;789
420;72843284;519;2187;985;1202
421;41359163;520;2472;1014;1458
422;72324485;521;1623;682;941
423;32964133;522;1597;719;878
424;73195171;523;2853;1284;1569
425;44778183;524;2921;1257;1664
426;48139881;525;2332;1097;1235
427;48678603;526;1951;956;995
428;32973428;527;2110;929;1181
429;41809684;528;2903;1220;1683
430;32980179;529;2297;1057;1240
431;32849225;530;2699;1269;1430
432;43850124;531;1854;779;1075
433;32907546;532;2876;1323;1553
434;32829290;533;1742;837;905
435;32923650;534;1633;784;849
436;32956831;535;2306;1107;1199
437;32906817;536;1681;740;941
438;32965388;537;1950;839;1111
439;40698330;538;1848;814;1034
440;46643221;539;2130;1002;1128
441;16698966;540;2366;1065;1301
442;32906920;541;1782;785;997
443;32907838;542;1593;717;876
444;32733900;543;2060;1010;1050
445;42982598;544;2562;1025;1537
446;45723986;545;1745;803;942
447;32788157;546;1787;912;875
448;47416694;547;1905;934;971
449;45090522;548;2964;1334;1630
450;19424574;549;2536;1040;1496
451;32911734;550;2250;1148;1102
452;32797054;551;2509;1130;1379
453;43857954;552;1933;870;1063
454;40945363;553;2511;1130;1381
455;32844367;554;2002;1001;1001
456;32740633;555;1713;874;839
457;41549501;556;1535;768;767
458;32839915;557;2974;1220;1754
459;32875203;558;1818;837;981
460;44095017;559;1699;765;934
461;47511568;560;2343;985;1358
462;32839827;561;2453;1129;1324
463;32880754;562;2391;1100;1291
464;32881047;563;1969;965;1004
465;32882431;564;2372;949;1423
466;8433532;565;1529;597;932
467;32883039;566;2312;925;1387
468;32927412;567;1722;793;929
469;32884763;568;2013;987;1026
470;32885042;569;2957;1242;1715
471;32881868;570;2369;1161;1208
472;32884669;571;1774;834;940
473;32883495;572;2214;1130;1084
474;7041047;573;2442;1124;1318
475;32988182;574;2804;1206;1598
476;32880561;575;2411;989;1422
477;32884325;576;2806;1375;1431
478;32882611;577;1548;728;820
479;32880574;578;1574;756;818
480;41616697;579;2430;997;1433
481;32883578;580;2137;984;1153
482;32887310;581;2472;1236;1236
483;32883609;582;2701;1297;1404
484;42352100;583;2401;1057;1344
485;80281123;584;2221;933;1288
486;32884719;585;1643;806;837
487;32881984;586;1723;724;999
488;32950734;587;2247;989;1258
489;32883691;588;2879;1354;1525
490;33261931;589;1571;707;864
491;42961358;590;1880;922;958
492;32881151;591;2970;1367;1603
493;40383425;592;2317;950;1367
494;32884965;593;2966;1335;1631
495;32734827;594;1654;712;942
496;32877785;595;1567;721;846
497;40309381;596;2050;1046;1004
498;32885398;597;1946;837;1109
499;32885285;598;2576;1237;1339
500;40340854;599;2485;1144;1341
501;32885570;600;2879;1469;1410
502;80307842;601;2569;1259;1310
503;9016939;602;2427;1214;1213
504;32738970;603;2687;1210;1477
505;45268514;604;1868;860;1008
506;8098305;605;2911;1194;1717
507;32885245;606;1567;784;783
508;32885385;607;1297;623;674
509;32881925;608;1498;630;868
510;32884999;609;1188;571;617
511;40870339;610;599;270;329
512;32884275;611;813;358;455
513;32884421;612;1042;501;541
514;32883032;613;1235;544;691
515;32884376;614;1006;403;603
516;32734806;615;2712;1058;1654
517;32986193;616;1993;818;1175
518;32738810;617;2581;1110;1471
519;32885265;618;1560;609;951
520;47077108;619;2852;1426;1426
521;42960037;620;2705;1110;1595
522;70202433;621;918;377;541
523;60652903;622;610;305;305
524;45299177;623;875;394;481
525;71850472;624;1131;487;644
526;41629518;625;917;431;486
527;9907798;626;524;221;303
528;7941722;627;508;260;248
529;32857870;628;714;343;371
530;32797830;629;994;438;556
531;32840865;630;1380;580;800
532;32857869;631;1309;642;667
533;32916557;632;1097;516;581
534;32733874;633;1056;412;644
535;32906663;634;541;249;292
536;32917435;635;686;275;411
537;32869196;636;923;453;470
538;32943009;637;1141;548;593
539;26957835;638;1009;485;524
540;4220986;639;1206;507;699
541;16613856;640;851;426;425
542;33265748;641;1347;620;727
543;32791172;642;1068;481;587
544;32917573;643;810;397;413
545;32542753;644;1076;463;613
546;33261304;645;789;324;465
547;43413890;646;1494;628;866
548;32939041;647;1037;457;580
549;32924344;648;1063;436;627
550;32968839;649;1378;565;813
551;32857605;650;727;349;378
552;32834934;651;900;387;513
553;32939067;652;1297;532;765
554;32925459;653;1494;613;881
555;32912652;654;1052;453;599
556;32917203;655;1284;527;757
557;32856311;656;2219;1066;1153
558;40290743;657;2924;1316;1608
559;41854974;658;1939;776;1163
560;80194074;659;2061;907;1154
561;32733203;660;2055;1007;1048
562;32740750;661;1578;632;946
563;32809528;662;2598;1092;1506
564;16665813;663;1473;590;883
565;32956621;664;1291;581;710
566;32965758;665;741;297;444
567;32876086;666;1084;456;628
568;44414228;667;547;225;322
569;26931402;668;597;233;364
570;80621693;669;802;385;417
571;45105726;670;1081;487;594
572;32929936;671;757;311;446
573;32805681;672;895;448;447
574;32879180;673;1067;523;544
575;80225767;674;1316;606;710
576;44876830;675;670;275;395
577;46328174;676;522;267;255
578;32917415;677;1075;538;537
579;32931478;678;922;397;525
580;32942757;679;958;479;479
581;32771631;680;524;257;267
582;33247549;681;832;325;507
583;18052478;682;1178;460;718
584;32887326;683;1147;494;653
585;80194826;684;973;477;496
586;32783976;685;2069;911;1158
587;80412431;686;2429;1191;1238
588;32740709;687;2280;1118;1162
589;40278181;688;1754;860;894
590;32791154;689;2790;1312;1478
591;48338033;690;2291;1031;1260
592;43022416;691;2889;1156;1733
593;47510081;692;2922;1403;1519
594;41563507;693;1024;512;512
595;74206686;694;1004;412;592
596;47886467;695;783;322;461
597;44182386;696;1112;501;611
598;32790317;697;1081;530;551
599;32760258;698;1245;573;672
600;1012444;699;750;360;390
601;41771970;700;1439;648;791
602;41665891;701;909;391;518
603;48222345;702;1067;545;522
604;48147443;703;1147;551;596
605;32911017;704;1021;409;612
606;42436509;705;738;369;369
607;46023334;706;1096;494;602
608;43969598;707;933;411;522
609;72731151;708;1295;570;725
610;45425610;709;1447;579;868
611;48716047;710;810;373;437
612;32869758;711;1108;444;664
613;46547874;712;1390;626;764
614;32861057;713;1469;676;793
615;42608477;714;1358;612;746
616;70375919;715;1279;576;703
617;32941121;716;857;360;497
618;45739370;717;922;388;534
619;32771240;718;832;408;424
620;71041496;719;1074;430;644
621;45256190;720;658;283;375
622;47369088;721;1459;672;787
623;41932200;722;1005;402;603
624;70375920;723;507;249;258
625;32962035;724;1220;610;610
626;32989672;725;828;332;496
627;42142990;726;1273;650;623
628;44419959;727;1265;557;708
629;48427036;728;1319;647;672
630;47510046;729;1053;516;537
631;32939179;730;1199;480;719
632;42671737;731;1067;417;650
633;32867134;732;1445;694;751
634;32809331;733;1305;549;756
635;32776978;734;525;242;283
636;32763761;735;619;291;328
637;32960479;736;868;365;503
638;32864880;737;615;308;307
639;32829314;738;1333;667;666
640;32888095;739;759;327;432
641;32783728;740;1101;562;539
642;17951060;741;1778;836;942
643;32868498;742;2185;918;1267
644;32818761;743;2744;1263;1481
645;32865908;744;2965;1424;1541
646;17969077;745;2693;1078;1615
647;32791934;746;2318;1159;1159
648;32971612;747;2827;1188;1639
649;54341;748;1521;761;760
650;32966913;749;2489;1270;1219
651;32944301;750;2865;1347;1518
652;32126448;751;2047;881;1166
653;3592517;752;732;352;380
654;32846763;753;1066;491;575
655;80220254;754;1210;581;629
656;32908145;755;1233;617;616
657;32732565;756;919;432;487
658;32930573;757;1294;622;672
659;32858471;758;1452;726;726
660;32907424;759;1487;699;788
661;31812989;760;544;278;266
662;32842380;761;1340;577;763
663;32796692;762;1360;694;666
664;32929665;763;939;470;469
665;227603;764;1224;612;612
666;32855928;765;1262;568;694
667;32900920;766;891;366;525
668;32910735;767;539;238;301
669;8618440;768;1130;520;610
670;8683194;769;890;445;445
671;32990723;770;762;321;441
672;18720971;771;1464;732;732
673;32904180;772;642;257;385
674;41736405;773;891;375;516
675;43084428;774;800;384;416
676;32980155;775;1326;677;649
677;46277750;776;954;411;543
678;32925726;777;1129;463;666
679;9997131;778;689;297;392
680;32772265;779;2526;1087;1439
681;32865703;780;2695;1294;1401
682;46187525;781;1661;665;996
683;32970591;782;1535;630;905
684;41098651;783;1618;648;970
685;32774310;784;2538;1143;1395
686;42483915;785;681;307;374
687;32813262;786;1405;647;758
688;32814682;787;1229;578;651
689;32960202;788;705;325;380
690;80162917;789;1290;504;786
691;32968824;790;609;268;341
692;32888158;791;1347;674;673
693;32888164;792;1459;657;802
694;16497583;793;1243;535;708
695;43376318;794;824;371;453
696;32838890;795;1457;714;743
697;17971007;796;670;289;381
698;17970465;797;1368;548;820
699;32932380;798;1144;561;583
700;32855980;799;1173;587;586
701;32777624;800;659;330;329
702;32132022;801;1272;573;699
703;32842238;802;783;361;422
704;32765371;803;765;360;405
705;32848665;804;792;341;451
706;32841543;805;1187;558;629
707;46126017;806;1143;458;685
708;70430004;807;973;419;554
709;32845155;808;1153;485;668
710;32840663;809;991;387;604
711;32979945;810;2418;992;1426
712;43838392;811;1577;663;914
713;32855094;812;1705;751;954
714;33260778;813;1797;863;934
715;44410618;814;1741;801;940
716;41497521;815;2109;950;1159
717;70488810;816;1924;770;1154
718;32816100;817;2259;927;1332
719;32804426;818;2605;1147;1458
720;32798575;819;2079;998;1081
721;32826437;820;1695;865;830
722;32979312;821;1617;663;954
723;32822112;822;1962;883;1079
724;32811728;823;2059;865;1194
725;32865575;824;1698;748;950
726;99439745;825;1760;828;932
727;32859252;826;2834;1162;1672
728;32969741;827;1733;850;883
729;32814735;828;2055;1028;1027
730;40740365;829;1772;886;886
731;2812962;830;2122;1040;1082
732;32814736;831;1525;610;915
733;40057937;832;1878;864;1014
734;32916049;833;2299;1127;1172
735;32991307;834;1770;744;1026
736;42488977;835;1640;640;1000
737;32855417;836;1582;697;885
738;32809073;837;2253;1059;1194
739;40507876;838;2127;1043;1084
740;32796937;839;2127;958;1169
741;32790528;840;1547;697;850
742;32843616;841;2474;1089;1385
743;32792145;842;2877;1353;1524
744;32840523;843;1586;778;808
745;32800945;844;1532;690;842
746;32768316;845;2490;1071;1419
747;32956850;846;2943;1207;1736
748;32800839;847;2683;1101;1582
749;32957004;848;2198;968;1230
750;32798676;849;2413;1159;1254
751;32988875;850;2617;1021;1596
752;32885602;851;2825;1130;1695
753;25697697;852;1986;775;1211
754;41261536;853;2189;854;1335
755;32976745;854;2273;1137;1136
756;32138841;855;2871;1465;1406
757;40537053;856;2098;945;1153
758;32855679;857;2967;1306;1661
759;18220852;858;2765;1106;1659
760;32809191;859;2998;1470;1528
761;32798320;860;2054;925;1129
762;43826811;861;2089;878;1211
763;32969592;862;2631;1158;1473
764;32919505;863;3000;1200;1800
765;32922656;864;1553;730;823
766;18214741;865;2372;1092;1280
767;41581842;866;2811;1209;1602
768;32858266;867;1558;670;888
769;32963700;868;1900;931;969
770;32862646;869;1001;511;490
771;32852765;870;1241;609;632
772;32844728;871;1148;540;608
773;32863100;872;1252;626;626
774;32924195;873;1138;513;625
775;46918965;874;935;384;551
776;32931571;875;1137;478;659
777;43407491;876;682;328;354
778;42949482;877;952;467;485
779;32791957;878;697;286;411
780;32843063;879;804;330;474
781;16645226;880;697;328;369
782;32863530;881;616;247;369
783;32986686;882;724;283;441
784;32838534;883;785;385;400
785;43307886;884;1330;599;731
786;32932564;885;589;260;329
787;43697350;886;1256;566;690
788;32912540;887;746;329;417
789;32862839;888;1408;648;760
790;32771762;889;1156;590;566
791;6242022;890;750;300;450
792;32980053;891;1042;521;521
793;32912296;892;575;242;333
794;43372552;893;2503;1027;1476
795;32933439;894;1636;655;981
796;32838987;895;2402;1057;1345
797;32913329;896;2694;1213;1481
798;32797741;897;1157;475;682
799;45154941;898;765;314;451
800;32851093;899;948;380;568
801;21469500;900;1179;566;613
802;2715025;901;998;410;588
803;32922284;902;1007;444;563
804;32942936;903;535;225;310
805;32732693;904;826;389;437
806;32904442;905;1070;428;642
807;32810312;906;621;249;372
808;32972108;907;985;394;591
809;32866545;908;1038;447;591
810;32834722;909;1316;566;750
811;32987604;910;1116;558;558
812;32864204;911;724;290;434
813;32102931;912;800;360;440
814;32950921;913;1419;696;723
815;32911854;914;964;473;491
816;32979777;915;562;242;320
817;32918086;916;853;359;494
818;32905997;917;826;356;470
819;32849039;918;597;245;352
820;31654355;919;947;474;473
821;32866765;920;2298;1104;1194
822;32804027;921;2384;1145;1239
823;32779062;922;2821;1411;1410
824;80251048;923;1814;708;1106
825;32939705;924;2339;1030;1309
826;32849114;925;1975;850;1125
827;32541388;926;2240;1031;1209
828;40813444;927;1601;721;880
829;32789986;928;1865;784;1081
830;10563219;929;1561;797;764
831;32833147;930;2510;1080;1430
832;32982941;931;2723;1090;1633
833;32801657;932;2305;1107;1198
834;32801369;933;2956;1272;1684
835;32862072;934;2340;936;1404
836;32738346;935;2828;1330;1498
837;32909930;936;1767;743;1024
838;32822591;937;2593;1141;1452
839;75156297;938;2083;959;1124
840;60817175;939;2342;1171;1171
841;42725523;940;2416;1160;1256
842;32920622;941;2711;1302;1409
843;42315262;942;1691;795;896
844;46491483;943;2479;1190;1289
845;41608181;944;2503;1127;1376
846;70524112;945;2095;964;1131
847;80621014;946;2951;1387;1564
848;43724305;947;2098;966;1132
849;32981192;948;2521;1009;1512
850;40015457;949;1952;801;1151
851;32937557;950;1835;753;1082
852;32936529;951;2744;1290;1454
853;32902759;952;2749;1320;1429
854;32734192;953;1639;640;999
855;32937741;954;2559;1126;1433
856;32936280;955;1586;793;793
857;32934212;956;1844;922;922
858;32937817;957;1663;666;997
859;90061694;958;2483;969;1514
860;32935305;959;2136;1026;1110
861;32937139;960;2535;1014;1521
862;41469453;961;2331;1166;1165
863;41217954;962;2693;1374;1319
864;32897002;963;2948;1327;1621
865;32734190;964;1508;604;904
866;8934202;965;2444;1174;1270
867;32934988;966;2479;1215;1264
868;32744625;967;2259;1062;1197
869;32935843;968;2494;1173;1321
870;32937103;969;2684;1181;1503
871;32915159;970;2398;1032;1366
872;42998308;971;2093;1047;1046
873;32922575;972;1883;923;960
874;32948824;973;1891;889;1002
875;32937332;974;2470;1137;1333
876;41223562;975;2798;1232;1566
877;8259996;976;2885;1154;1731
878;32936157;977;2745;1126;1619
